,t,a,e,i
0,0,6795.098516009373,0.0005997862206198026,51.600000000000016
0,180,6795.096991762706,0.0005995802670731991,51.60000000000002
0,360,6795.095590262441,0.0005994112154762192,51.60000000000002
0,540,6795.094462164024,0.0005992970940926914,51.60000000000002
0,720,6795.093376234692,0.0005992128911994512,51.60000000000003
0,900,6795.092363265909,0.0005991615094427146,51.60000000000003
0,1080,6795.09143417754,0.0005991412377655321,51.60000000000003
0,1260,6795.090435799132,0.0005991492124932523,51.60000000000003
0,1440,6795.089540007923,0.0005991827764998991,51.60000000000002
0,1620,6795.088503086547,0.0005992506031109573,51.60000000000002
0,1800,6795.08750783279,0.0005993408406813782,51.60000000000002
0,1980,6795.08629627961,0.0005994767760294149,51.60000000000003
0,2160,6795.085182105817,0.0005996206390494607,51.60000000000002
0,2340,6795.083932683469,0.0005997964810896646,51.60000000000002
0,2520,6795.082626306171,0.0005999879697498577,51.60000000000003
0,2700,6795.081270952465,0.0006001864061432476,51.600000000000044
0,2880,6795.0799587553765,0.0006003704279689461,51.60000000000003
0,3060,6795.078889611923,0.0006005076285635579,51.60000000000003
0,3240,6795.077855096808,0.0006006226297022156,51.600000000000044
0,3420,6795.0767328603615,0.0006007230208938613,51.600000000000044
0,3600,6795.075777719256,0.0006007842380820494,51.600000000000044
0,3780,6795.074872485595,0.0006008169242377285,51.600000000000044
0,3960,6795.073799547752,0.0006008240624592548,51.600000000000044
0,4140,6795.072709328374,0.0006007989141788329,51.600000000000044
0,4320,6795.071552376615,0.000600738938103065,51.600000000000044
0,4500,6795.070488778062,0.0006006554558388873,51.600000000000044
0,4680,6795.069348064495,0.0006005391843767661,51.600000000000044
0,4860,6795.067906915872,0.0006003645291582003,51.600000000000044
0,5040,6795.066549480875,0.0006001806083240317,51.600000000000044
0,5220,6795.065073742809,0.0005999677472661726,51.60000000000003
0,5400,6795.063622310022,0.0005997542784440936,51.60000000000003
0,5580,6795.062089775421,0.0005995337902310939,51.60000000000003
0,5760,6795.060708066955,0.0005993475954438315,51.60000000000003
0,5940,6795.059421089224,0.0005991930288665719,51.60000000000003
0,6120,6795.058217538175,0.0005990720700845662,51.60000000000003
0,6300,6795.057006008794,0.0005989790684846221,51.60000000000002
0,6480,6795.055933386547,0.0005989255833462767,51.60000000000002
0,6660,6795.05497767571,0.0005989055981076122,51.60000000000002
0,6840,6795.054031039193,0.0005989140264579089,51.60000000000003
0,7020,6795.0529593168085,0.0005989551349991506,51.60000000000003
0,7200,6795.051935215764,0.0005990229687308145,51.60000000000003
0,7380,6795.050829635935,0.000599124013117922,51.600000000000044
0,7560,6795.049832286541,0.0005992365098649382,51.600000000000044
0,7740,6795.048673459287,0.0005993866497660106,51.600000000000044
0,7920,6795.0474512148085,0.000599558995731786,51.600000000000044
0,8100,6795.0460935242245,0.0005997581225643592,51.60000000000003
0,8280,6795.044976557019,0.0005999215444448065,51.60000000000003
0,8460,6795.043853533571,0.0006000787180325932,51.60000000000002
0,8640,6795.0427548535545,0.0006002192087961715,51.600000000000016
0,8820,6795.041544516704,0.0006003530211600505,51.600000000000016
0,9000,6795.040529779267,0.0006004430517513381,51.60000000000002
0,9180,6795.039462176815,0.0006005105902748131,51.60000000000002
0,9360,6795.038453933121,0.0006005460982617218,51.60000000000003
0,9540,6795.037380330042,0.000600552258266141,51.600000000000044
0,9720,6795.0363944745195,0.0006005286237716421,51.60000000000005
0,9900,6795.035330009622,0.0006004725247902183,51.600000000000065
0,10080,6795.034227744906,0.0006003851484492436,51.600000000000065
0,10260,6795.033019690923,0.0006002612119513376,51.60000000000005
0,10440,6795.031551508622,0.0006000825167141329,51.60000000000005
0,10620,6795.030070173082,0.0005998812807547144,51.60000000000005
0,10800,6795.028630901382,0.0005996734236140806,51.60000000000005
0,10980,6795.027076129118,0.0005994447682277944,51.600000000000044
0,11160,6795.025506043053,0.0005992191810862084,51.600000000000044
0,11340,6795.024017173052,0.0005990190990679841,51.600000000000044
0,11520,6795.022690030804,0.000598860419543687,51.600000000000044
0,11700,6795.021327954059,0.0005987244534708602,51.600000000000044
0,11880,6795.020141267872,0.0005986343017627658,51.600000000000044
0,12060,6795.01904745069,0.0005985807181169751,51.600000000000044
0,12240,6795.018076038947,0.0005985613006001579,51.600000000000044
0,12420,6795.017182571491,0.000598570085985297,51.600000000000044
